round,binary_accuracy,loss
0,0.5271429,1.3698748
1,0.75,0.7620509
2,0.91571426,0.5517806
3,0.94,0.52911127
4,0.9442857,0.56513923
5,0.9442857,0.61564714
6,0.9442857,0.6685063
7,0.9442857,0.71415985
8,0.9442857,0.745292
9,0.9442857,0.76249915
0,0.5271429,1.3698748
1,0.75,0.7620509
2,0.91571426,0.5517806
3,0.94,0.52911127
4,0.9442857,0.56513923
5,0.9442857,0.61564714
6,0.9442857,0.6685063
7,0.9442857,0.71415985
8,0.9442857,0.745292
9,0.9442857,0.76249915
0,0.5271429,1.3698748
1,0.75,0.7620509
2,0.91571426,0.5517806
3,0.94,0.52911127
4,0.9442857,0.56513923
5,0.9442857,0.61564714
6,0.9442857,0.6685063
7,0.9442857,0.71415985
8,0.9442857,0.745292
9,0.9442857,0.76249915
0,0.5271429,1.3698748
1,0.75,0.7620509
2,0.91571426,0.5517806
3,0.94,0.52911127
4,0.9442857,0.56513923
5,0.9442857,0.61564714
6,0.9442857,0.6685063
7,0.9442857,0.71415985
8,0.9442857,0.745292
9,0.9442857,0.76249915
0,0.5271429,1.3698748
1,0.75,0.7620509
2,0.91571426,0.5517806
3,0.94,0.52911127
4,0.9442857,0.56513923
5,0.9442857,0.61564714
6,0.9442857,0.6685063
7,0.9442857,0.71415985
8,0.9442857,0.745292
9,0.9442857,0.76249915
0,0.5271429,1.3698748
1,0.75,0.7620509
2,0.91571426,0.5517806
3,0.94,0.52911127
4,0.9442857,0.56513923
5,0.9442857,0.61564714
6,0.9442857,0.6685063
7,0.9442857,0.71415985
8,0.9442857,0.745292
9,0.9442857,0.76249915
0,0.5271429,1.3698748
1,0.75,0.7620509
2,0.91571426,0.5517806
3,0.94,0.52911127
4,0.9442857,0.56513923
5,0.9442857,0.61564714
6,0.9442857,0.6685063
7,0.9442857,0.71415985
8,0.9442857,0.745292
9,0.9442857,0.76249915
0,0.5271429,1.3698748
1,0.75,0.7620509
2,0.91571426,0.5517806
3,0.94,0.52911127
4,0.9442857,0.56513923
5,0.9442857,0.61564714
6,0.9442857,0.6685063
7,0.9442857,0.71415985
8,0.9442857,0.745292
9,0.9442857,0.76249915
0,0.5271429,1.3698748
1,0.75,0.7620509
2,0.91571426,0.5517806
3,0.94,0.52911127
4,0.9442857,0.56513923
5,0.9442857,0.61564714
6,0.9442857,0.6685063
7,0.9442857,0.71415985
8,0.9442857,0.745292
9,0.9442857,0.76249915
0,0.5271429,1.3698748
1,0.75,0.7620509
2,0.91571426,0.5517806
3,0.94,0.52911127
4,0.9442857,0.56513923
5,0.9442857,0.61564714
6,0.9442857,0.6685063
7,0.9442857,0.71415985
8,0.9442857,0.745292
9,0.9442857,0.76249915
